Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
SPRP,AE32_256,512,30,10,0,0.749349,1669.7,598.91,16697,17767.4,20063,628388,792.71,1.20183,1.29878,1.35026
SPRP,AE32_256,1024,30,10,0,0.743744,1741.7,574.152,17417,20981.1,36519,2.42443e+07,4923.85,1.88112,2.82657,0.723845
SPRP,AE32_256,2048,30,10,0,0.716913,1718.8,581.801,17188,18716.3,21876,1.41963e+06,1191.48,1.00955,0.206475,1.28272
SPRP,AE32_256,4096,30,10,0,0.747873,1793.1,557.693,17931,19965,23964,2.08818e+06,1445.06,1.05491,0.642419,1.40758
SPRP,AE32_256,8192,30,10,0,0.726324,1866,535.906,18660,20458.2,24190,2.06168e+06,1435.86,1.04351,0.518692,1.25235
SPRP,AE32_256,16384,30,10,0,0.704335,1938.4,515.889,19384,20687.4,25116,1.27216e+06,1127.9,2.09376,6.0636,1.1556
SPRP,AE32_256,32768,30,10,0,0.6822,2143.2,466.592,21432,23498.2,26521,1.54414e+06,1242.63,0.275215,-0.325735,1.66273
SPRP,AE32_256,65536,30,10,0,0.683517,2537.9,394.027,25379,27485.5,31474,1.94176e+06,1393.47,0.612053,0.572101,1.51169
SPRP,AE32_256,131072,30,10,0,0.601327,2810.3,355.834,28103,29762.5,32947,1.18677e+06,1089.39,0.677353,0.734505,1.52333
SPRP,AE32_256,262144,30,10,0,0.446418,2739,365.097,27390,28403.9,31140,969512,984.638,1.19305,0.6572,1.02968
SPRP,AE32_256,524288,30,10,0,0.32409,2677.5,373.483,26775,27580.3,29144,553154,743.743,0.63881,-0.825983,1.08281
SPRP,AE32_256,1048576,30,10,0,0.236137,2678.6,373.329,26786,28116.4,32241,976127,987.991,2.53349,8.45043,1.3466
SPRP,AE32_256,2097152,30,10,0,0.175252,2766.4,361.481,27664,28777.6,30979,652268,807.631,0.806752,0.358559,1.37889
SPRP,AE32_256,4194304,30,10,0,0.124735,2828,353.607,28280,29503.6,32737,960424,980.012,1.39691,2.14081,1.24856
SPRP,AE32_256,8388608,30,10,0,0.0930418,2916.2,342.912,29162,30296.4,33856,905830,951.751,2.12766,5.05819,1.19194
SPRP,AE32_256,16777216,30,10,0,0.0681939,3046.1,328.289,30461,31462.2,33515,696419,834.517,0.621022,-0.532278,1.19978
SPRP,AE32_256,33554432,30,10,0,0.0503959,3173.6,315.1,31736,32382,33885,269182,518.827,0.792811,0.535263,1.24505
